0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:26:30 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:26:31 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:26:31 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:23 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:28:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:30:37 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:30:37 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:30:38 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:30:38 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:30:40 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:07 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:08 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:09 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:09 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:31:11 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:26 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:27 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:29 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:30 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:32:30 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:14 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5213
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:15 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:17 +0900] "GET /BBS/deleteAction.jsp?bbsID=1&commentID=3 HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:18 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:18 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:21:33:28 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
